Time,Confidence (%),Label,Mean Liveness Sim
12:21:48,28,Suspicious (28%),0.9625982468969995
12:21:50,26,Suspicious (26%),0.9630863241510043
12:21:51,27,Suspicious (27%),0.9654061866117336
12:21:52,23,Suspicious (23%),0.9620015237330873
12:21:54,23,Suspicious (23%),0.9699762745180406
12:21:55,24,Suspicious (24%),0.9747690130921358
12:21:56,24,Suspicious (24%),0.9764916990461584
12:21:57,25,Suspicious (25%),0.977021872273835
12:21:58,24,Suspicious (24%),0.9768700749690201
12:44:55,26,Suspicious (26%),
12:44:58,26,Suspicious (26%),0.8782517867480931
12:45:00,24,Suspicious (24%),0.916138636582745
12:45:02,26,Suspicious (26%),0.9401042247776882
12:45:03,26,Suspicious (26%),0.9456278545627995
12:45:05,29,Suspicious (29%),0.9259964702126492
12:45:06,28,Suspicious (28%),0.9286308649419285
12:45:08,33,Suspicious (33%),0.9219590136480323
12:45:10,31,Suspicious (31%),0.9239273474391365
12:45:11,28,Suspicious (28%),0.9265598756999258
12:45:13,24,Suspicious (24%),0.9321581024207403
12:45:15,23,Suspicious (23%),0.9347200161248664
12:45:17,23,Suspicious (23%),0.9346846190496163
12:45:19,24,Suspicious (24%),0.9380920749801146
12:45:21,23,Suspicious (23%),0.953907782087852
12:45:23,52,Suspicious (52%),0.891300173394276
12:45:24,23,Suspicious (23%),0.8338376998479441
12:45:25,25,Suspicious (25%),0.8395233548252512
12:45:26,26,Suspicious (26%),0.8435525697248559
12:45:27,26,Suspicious (26%),0.8505801164459652
12:45:28,25,Suspicious (25%),0.8520318189936656
12:45:29,25,Suspicious (25%),0.8516359785443667
12:45:30,43,Suspicious (43%),0.8089748605761155
12:45:30,41,Suspicious (41%),0.8023166829756574
12:45:31,25,Suspicious (25%),0.8258465912450252
12:45:32,25,Suspicious (25%),0.896124737718939
12:45:33,26,Suspicious (26%),0.8968165008506693
12:45:34,24,Suspicious (24%),0.8979965123030083
12:45:35,25,Suspicious (25%),0.8986844149811378
12:45:36,25,Suspicious (25%),0.8976805422346129
12:45:37,25,Suspicious (25%),0.898722431515308
12:45:38,26,Suspicious (26%),0.9416497978240402
12:45:39,26,Suspicious (26%),0.948772386725632
12:45:40,26,Suspicious (26%),0.99348117031199
12:45:41,26,Suspicious (26%),0.9932251995123342
12:45:42,26,Suspicious (26%),0.9934038746061553
12:45:43,25,Suspicious (25%),0.992990007956045
12:45:44,27,Suspicious (27%),0.9924750906832414
12:45:45,26,Suspicious (26%),0.9887198385616492
12:45:46,24,Suspicious (24%),0.9877301544365003
12:45:47,24,Suspicious (24%),0.9860051057300923
12:45:48,25,Suspicious (25%),0.9848313665916153
12:45:49,25,Suspicious (25%),0.9849235782049759
12:45:50,25,Suspicious (25%),0.9849724703841893
12:45:51,25,Suspicious (25%),0.985152327925483
12:45:52,25,Suspicious (25%),0.9851317911429478
12:45:53,24,Suspicious (24%),0.9843355589176928
12:45:54,24,Suspicious (24%),0.9863112495917874
12:45:55,24,Suspicious (24%),0.9851389703608778
12:45:56,23,Suspicious (23%),0.9857441303627917
12:45:57,24,Suspicious (24%),0.9862948635667885
12:45:58,25,Suspicious (25%),0.9859143996812428
12:45:59,25,Suspicious (25%),0.9855912960626312
12:46:00,25,Suspicious (25%),0.984988367611883
12:46:01,26,Suspicious (26%),0.9856631169373222
12:46:02,26,Suspicious (26%),0.9863775389183762
12:46:03,26,Suspicious (26%),0.989861579447903
12:46:04,27,Suspicious (27%),0.9916118556337999
12:46:06,27,Suspicious (27%),0.9930306106865096
12:46:07,26,Suspicious (26%),0.993983546063515
12:46:08,26,Suspicious (26%),0.9941399226567886
12:46:09,26,Suspicious (26%),0.9943387696764686
12:46:10,25,Suspicious (25%),0.9934714585890778
12:46:11,25,Suspicious (25%),0.9910070213016436
12:46:12,24,Suspicious (24%),0.9897737544184199
12:46:13,27,Suspicious (27%),0.9781206885760917
12:46:14,28,Suspicious (28%),0.9786527662419968
12:46:15,28,Suspicious (28%),0.9783083149301901
12:46:16,28,Suspicious (28%),0.9783280945137235
12:46:17,29,Suspicious (29%),0.9790182211486993
12:46:18,24,Suspicious (24%),0.9683209275848422
12:46:19,25,Suspicious (25%),0.966732793277035
12:46:20,25,Suspicious (25%),0.968778487908078
12:46:21,25,Suspicious (25%),0.9704912947150262
12:46:23,26,Suspicious (26%),0.9821781428074176
12:46:23,26,Suspicious (26%),0.9825707497222683
12:46:24,24,Suspicious (24%),0.9815291533978154
12:46:26,24,Suspicious (24%),0.9759779662529667
12:46:27,24,Suspicious (24%),0.9720713333555757
12:46:28,26,Suspicious (26%),0.979970560739069
12:46:30,24,Suspicious (24%),0.981689597070085
